time(s),SOC_1,SOC_2,SOC_3,SOC_4
45.96800,-0.26599,-0.36404,-0.38370,-0.37486
46.06800,-0.26626,-0.36401,-0.38369,-0.37486
46.16800,-0.26633,-0.36409,-0.38346,-0.37569
46.26800,-0.26671,-0.36405,-0.38340,-0.37530
46.36800,-0.26645,-0.36378,-0.38323,-0.37521
46.46800,-0.26696,-0.36383,-0.38341,-0.37512
46.56800,-0.26717,-0.36374,-0.38332,-0.37498
46.66800,-0.26773,-0.36386,-0.38347,-0.37499
46.76800,-0.26798,-0.36403,-0.38367,-0.37520
46.86800,-0.26844,-0.36427,-0.38373,-0.37529
46.96800,-0.26822,-0.36388,-0.38362,-0.37523
47.06800,-0.26765,-0.36384,-0.38324,-0.37518
47.16800,-0.26853,-0.36449,-0.38372,-0.37540
47.26800,-0.26812,-0.36411,-0.38349,-0.37540
47.36800,-0.26844,-0.36396,-0.38341,-0.37540
47.46800,-0.26888,-0.36430,-0.38358,-0.37503
47.56800,-0.26875,-0.36420,-0.38326,-0.37534
47.66800,-0.26864,-0.36393,-0.38310,-0.37510
47.76800,-0.26882,-0.36428,-0.38321,-0.37476
47.86800,-0.26885,-0.36390,-0.38345,-0.37517
47.96800,-0.26865,-0.36378,-0.38336,-0.37548
48.06800,-0.26864,-0.36398,-0.38325,-0.37524
48.16800,-0.26873,-0.36411,-0.38338,-0.37528
48.26800,-0.26885,-0.36406,-0.38354,-0.37528
48.36800,-0.26966,-0.36450,-0.38356,-0.37553
48.46800,-0.26937,-0.36402,-0.38344,-0.37526
48.56800,-0.27009,-0.36448,-0.38379,-0.37495
48.66800,-0.26986,-0.36464,-0.38396,-0.37516
48.76800,-0.26953,-0.36433,-0.38335,-0.37489
48.86800,-0.26930,-0.36415,-0.38334,-0.37495
48.96800,-0.26945,-0.36478,-0.38370,-0.37506
49.06800,-0.26896,-0.36442,-0.38340,-0.37504
49.16800,-0.26904,-0.36447,-0.38339,-0.37521
49.26800,-0.26902,-0.36441,-0.38340,-0.37503
49.36800,-0.26936,-0.36433,-0.38357,-0.37514
49.46800,-0.26906,-0.36419,-0.38311,-0.37532
49.56800,-0.26970,-0.36456,-0.38341,-0.37524
49.66800,-0.26894,-0.36403,-0.38330,-0.37564
49.76800,-0.26951,-0.36454,-0.38339,-0.37527
49.86800,-0.26958,-0.36454,-0.38327,-0.37530
49.96800,-0.26975,-0.36442,-0.38340,-0.37555
50.06800,-0.27023,-0.36454,-0.38354,-0.37556
50.16800,-0.26977,-0.36396,-0.38316,-0.37543
50.26800,-0.26995,-0.36410,-0.38341,-0.37497
50.36800,-0.26936,-0.36407,-0.38312,-0.37544
50.46800,-0.26934,-0.36374,-0.38276,-0.37518
50.56800,-0.26894,-0.36392,-0.38272,-0.37520
50.66800,-0.26880,-0.36401,-0.38297,-0.37495
50.76800,-0.26887,-0.36398,-0.38314,-0.37513
50.86800,-0.26896,-0.36354,-0.38316,-0.37512
50.96800,-0.26916,-0.36405,-0.38324,-0.37576
51.06800,-0.26992,-0.36463,-0.38361,-0.37515
51.16800,-0.27006,-0.36462,-0.38324,-0.37535
51.26800,-0.27011,-0.36450,-0.38340,-0.37498
51.36800,-0.27058,-0.36469,-0.38361,-0.37507
51.46800,-0.27021,-0.36450,-0.38323,-0.37506
51.56800,-0.27047,-0.36449,-0.38331,-0.37541
51.66800,-0.27037,-0.36409,-0.38305,-0.37555
51.76800,-0.27072,-0.36363,-0.38308,-0.37554
51.86800,-0.27092,-0.36426,-0.38319,-0.37540
